date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:04:00	670/670	---M--	200	added ('OK')	image/png	date:Wed,%2029%20Jan%202025%2020:39:04	https://img.icons8.com/ios-filled/50/000000/bank-building.png	C:/Users/Doublerr/Desktop/Shopee/img.icons8.com/ios-filled/50/000000/bank-building.png	(from https://shopee.seg-ca1xa.pro/5mil/termos.html)
11:04:00	8437/8437	---MCZ	200	added ('OK')	text/html	date:Tue,%2018%20Feb%202025%2016:43:29%20GMT	https://shopee.seg-ca1xa.pro/5mil/log.html	C:/Users/Doublerr/Desktop/Shopee/shopee.seg-ca1xa.pro/5mil/log.html	(from https://shopee.seg-ca1xa.pro/5mil/termos.html)
11:04:01	232943/232943	---MCZ	200	added ('OK')	text/css	etag:W/%2238def-62dcf4b1dfa80%22	https://shopee.seg-ca1xa.pro/5mil/css/bootstrap.min.css	C:/Users/Doublerr/Desktop/Shopee/shopee.seg-ca1xa.pro/5mil/css/bootstrap.min.css	(from https://shopee.seg-ca1xa.pro/5mil/log.html)
11:04:02	13620/13620	---MCZ	200	added ('OK')	application/javascript	etag:W/%223534-62dcf4caab500%22	https://shopee.seg-ca1xa.pro/5mil/js/latest.js	C:/Users/Doublerr/Desktop/Shopee/shopee.seg-ca1xa.pro/5mil/js/latest.js	(from https://shopee.seg-ca1xa.pro/5mil/log.html)
11:04:02	32794/32794	---MCZ	200	added ('OK')	application/javascript	etag:W/%22801a-62dcf4caab500%22	https://shopee.seg-ca1xa.pro/5mil/js/pixel.js	C:/Users/Doublerr/Desktop/Shopee/shopee.seg-ca1xa.pro/5mil/js/pixel.js	(from https://shopee.seg-ca1xa.pro/5mil/log.html)
11:04:04	12946/12946	---M--	200	added ('OK')	image/gif	etag:%2278da3804896c16eb7b40788836230fc6%22	https://cdn.pixabay.com/animation/2023/08/11/21/18/21-18-05-265_512.gif	C:/Users/Doublerr/Desktop/Shopee/cdn.pixabay.com/animation/2023/08/11/21/18/21-18-05-265_512.gif	(from https://shopee.seg-ca1xa.pro/5mil/log.html)
11:04:05	19453/19453	---M--	200	added ('OK')	image/png	etag:%22c2215c1beac24a5476843e93980409aa%22	https://cdn-icons-png.flaticon.com/512/6784/6784655.png	C:/Users/Doublerr/Desktop/Shopee/cdn-icons-png.flaticon.com/512/6784/6784655.png	(from https://shopee.seg-ca1xa.pro/5mil/log.html)
11:04:05	5778/5778	---MCZ	200	added ('OK')	text/html	date:Mon,%2010%20Feb%202025%2017:45:04%20GMT	https://shopee.seg-ca1xa.pro/5mil/card.html	C:/Users/Doublerr/Desktop/Shopee/shopee.seg-ca1xa.pro/5mil/card.html	(from https://shopee.seg-ca1xa.pro/5mil/log.html)
11:04:05	1387/1387	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2022%20Feb%202025%2014:04:05%20GMT	https://shopee.seg-ca1xa.pro/cdn.utmify.com.br/scripts/pixel/pixel.js	C:/Users/Doublerr/Desktop/Shopee/shopee.seg-ca1xa.pro/cdn.utmify.com.br/scripts/pixel/pixel.js	(from https://shopee.seg-ca1xa.pro/5mil/log.html)
11:04:06	20438/20438	---MCZ	200	added ('OK')	text/html	date:Mon,%2010%20Feb%202025%2017:45:07%20GMT	https://shopee.seg-ca1xa.pro/5mil/carregando.html	C:/Users/Doublerr/Desktop/Shopee/shopee.seg-ca1xa.pro/5mil/carregando.html	(from https://shopee.seg-ca1xa.pro/5mil/card.html)
11:04:08	161124/161124	---M--	200	added ('OK')	image/png	etag:%227cf0ee8b7a9e8287267792040650dc7a%22	https://cdn.freebiesupply.com/logos/large/2x/chip-1-logo-png-transparent.png	C:/Users/Doublerr/Desktop/Shopee/cdn.freebiesupply.com/logos/large/2x/chip-1-logo-png-transparent.png	(from https://shopee.seg-ca1xa.pro/5mil/carregando.html)
11:04:10	46076/46076	---M--	200	added ('OK')	image/png	date:Mon,%2028%20Oct%202024%2021:21:56%20GMT	https://i.ibb.co/mG9n8wp/Design-sem-nome.png	C:/Users/Doublerr/Desktop/Shopee/i.ibb.co/mG9n8wp/Design-sem-nome.png	(from https://shopee.seg-ca1xa.pro/5mil/carregando.html)
11:04:13	73840/73840	---M--	200	added ('OK')	image/png	date:Thu,%2023%20Jan%202025%2018:17:06%20GMT	https://i.ibb.co/JsmcJQf/Bank.png	C:/Users/Doublerr/Desktop/Shopee/i.ibb.co/JsmcJQf/Bank.png	(from https://shopee.seg-ca1xa.pro/5mil/carregando.html)
